Log start on,2022-12-01 11:31:46
Feature,Accelerometer
Nodes,PROTEUS @262F5E, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
01/12/2022 11:31:46.569,32,PROTEUS @262F5E,8781,D5FF0B00ED03,-43,11,1005,
01/12/2022 11:31:46.617,80,PROTEUS @262F5E,8787,D2FF1500E703,-46,21,999,
01/12/2022 11:31:46.667,130,PROTEUS @262F5E,8794,CDFF0B00E603,-51,11,998,
01/12/2022 11:31:46.716,179,PROTEUS @262F5E,8800,B6FF1000E303,-74,16,995,
01/12/2022 11:31:46.764,227,PROTEUS @262F5E,8806,D0FF1000E703,-48,16,999,
01/12/2022 11:31:46.814,277,PROTEUS @262F5E,8812,D4FF0C00EC03,-44,12,1004,
01/12/2022 11:31:46.862,325,PROTEUS @262F5E,8819,D3FF0800EF03,-45,8,1007,
01/12/2022 11:31:46.911,374,PROTEUS @262F5E,8825,D6FF1100E703,-42,17,999,
01/12/2022 11:31:47.008,471,PROTEUS @262F5E,8831,D7FF1200ED03,-41,18,1005,
01/12/2022 11:31:47.058,521,PROTEUS @262F5E,8837,D4FF0200ED03,-44,2,1005,
01/12/2022 11:31:47.107,570,PROTEUS @262F5E,8844,CFFF1000F103,-49,16,1009,
01/12/2022 11:31:47.154,617,PROTEUS @262F5E,8850,D7FF0F00EE03,-41,15,1006,
01/12/2022 11:31:47.203,666,PROTEUS @262F5E,8856,D5FF1200EE03,-43,18,1006,
01/12/2022 11:31:47.251,714,PROTEUS @262F5E,8862,D5FF0A00EA03,-43,10,1002,
01/12/2022 11:31:47.300,763,PROTEUS @262F5E,8869,D3FF0A00E703,-45,10,999,
01/12/2022 11:31:47.349,812,PROTEUS @262F5E,8875,D0FF0D00EE03,-48,13,1006,
01/12/2022 11:31:47.399,862,PROTEUS @262F5E,8881,D5FF0F00E903,-43,15,1001,
01/12/2022 11:31:47.447,910,PROTEUS @262F5E,8887,D1FF1200EF03,-47,18,1007,
01/12/2022 11:31:47.497,960,PROTEUS @262F5E,8894,D8FF0500EB03,-40,5,1003,
01/12/2022 11:31:47.544,1007,PROTEUS @262F5E,8900,CFFF0D00EC03,-49,13,1004,
01/12/2022 11:31:47.594,1057,PROTEUS @262F5E,8906,D5FF1000E903,-43,16,1001,
01/12/2022 11:31:47.643,1106,PROTEUS @262F5E,8912,D3FF0700E803,-45,7,1000,
01/12/2022 11:31:47.692,1155,PROTEUS @262F5E,8919,D6FF0B00F003,-42,11,1008,
01/12/2022 11:31:47.741,1204,PROTEUS @262F5E,8925,D5FF1000E403,-43,16,996,
01/12/2022 11:31:47.790,1253,PROTEUS @262F5E,8931,D1FF0D00EC03,-47,13,1004,
01/12/2022 11:31:47.838,1301,PROTEUS @262F5E,8937,D6FF1300EB03,-42,19,1003,
01/12/2022 11:31:47.886,1349,PROTEUS @262F5E,8943,D0FF0B00EB03,-48,11,1003,
01/12/2022 11:31:47.935,1398,PROTEUS @262F5E,8950,D6FF0B00EC03,-42,11,1004,
01/12/2022 11:31:47.984,1447,PROTEUS @262F5E,8956,D4FF0B00E603,-44,11,998,
01/12/2022 11:31:48.033,1496,PROTEUS @262F5E,8962,D1FF0C00E303,-47,12,995,
01/12/2022 11:31:48.082,1545,PROTEUS @262F5E,8968,D4FF0900E603,-44,9,998,
01/12/2022 11:31:48.130,1593,PROTEUS @262F5E,8975,D4FF0F00EE03,-44,15,1006,
01/12/2022 11:31:48.179,1642,PROTEUS @262F5E,8981,D5FF0900EA03,-43,9,1002,
01/12/2022 11:31:48.227,1690,PROTEUS @262F5E,8987,D4FF0F00EC03,-44,15,1004,
01/12/2022 11:31:48.277,1740,PROTEUS @262F5E,8993,D4FF0C00F003,-44,12,1008,
01/12/2022 11:31:48.325,1788,PROTEUS @262F5E,9000,D2FF0D00E903,-46,13,1001,
01/12/2022 11:31:48.373,1836,PROTEUS @262F5E,9006,CFFF0900E703,-49,9,999,
01/12/2022 11:31:48.422,1885,PROTEUS @262F5E,9012,D8FF0B00ED03,-40,11,1005,
01/12/2022 11:31:48.471,1934,PROTEUS @262F5E,9018,D1FF0D00E703,-47,13,999,
01/12/2022 11:31:48.519,1982,PROTEUS @262F5E,9025,DAFF0E00ED03,-38,14,1005,
01/12/2022 11:31:48.568,2031,PROTEUS @262F5E,9031,D3FF1000EA03,-45,16,1002,
01/12/2022 11:31:48.617,2080,PROTEUS @262F5E,9037,D5FF0D00E903,-43,13,1001,
01/12/2022 11:31:48.666,2129,PROTEUS @262F5E,9043,D3FF0E00EE03,-45,14,1006,
01/12/2022 11:31:48.715,2178,PROTEUS @262F5E,9050,D0FF0F00F103,-48,15,1009,
01/12/2022 11:31:48.764,2227,PROTEUS @262F5E,9056,D1FF0D00E903,-47,13,1001,
01/12/2022 11:31:48.813,2276,PROTEUS @262F5E,9062,D2FF0E00EC03,-46,14,1004,
01/12/2022 11:31:48.862,2325,PROTEUS @262F5E,9068,D3FF0D00EA03,-45,13,1002,
01/12/2022 11:31:48.910,2373,PROTEUS @262F5E,9075,D4FF0B00F103,-44,11,1009,
01/12/2022 11:31:48.959,2422,PROTEUS @262F5E,9081,D0FF1000E903,-48,16,1001,
01/12/2022 11:31:49.008,2471,PROTEUS @262F5E,9087,D6FF1700E603,-42,23,998,
01/12/2022 11:31:49.105,2568,PROTEUS @262F5E,9093,CEFF0F00E403,-50,15,996,
01/12/2022 11:31:49.153,2616,PROTEUS @262F5E,9099,D3FF0E00EE03,-45,14,1006,
01/12/2022 11:31:49.203,2666,PROTEUS @262F5E,9106,D2FF1100E903,-46,17,1001,
01/12/2022 11:31:49.251,2714,PROTEUS @262F5E,9112,D5FF0F00EC03,-43,15,1004,
01/12/2022 11:31:49.301,2764,PROTEUS @262F5E,9118,D2FF0D00E203,-46,13,994,
01/12/2022 11:31:49.349,2812,PROTEUS @262F5E,9124,D5FF0C00EC03,-43,12,1004,
01/12/2022 11:31:49.398,2861,PROTEUS @262F5E,9131,CFFF1200ED03,-49,18,1005,
01/12/2022 11:31:49.447,2910,PROTEUS @262F5E,9137,D3FF0D00E903,-45,13,1001,
01/12/2022 11:31:49.495,2958,PROTEUS @262F5E,9143,D5FF0D00F003,-43,13,1008,
01/12/2022 11:31:49.544,3007,PROTEUS @262F5E,9149,D8FF0E00EE03,-40,14,1006,
01/12/2022 11:31:49.592,3055,PROTEUS @262F5E,9156,D2FF0E00EB03,-46,14,1003,
01/12/2022 11:31:49.641,3104,PROTEUS @262F5E,9162,D2FF0C00F003,-46,12,1008,
01/12/2022 11:31:49.691,3154,PROTEUS @262F5E,9168,D0FF0D00E703,-48,13,999,
01/12/2022 11:31:49.739,3202,PROTEUS @262F5E,9174,D2FF0E00EB03,-46,14,1003,
01/12/2022 11:31:49.787,3250,PROTEUS @262F5E,9181,D4FF0A00EE03,-44,10,1006,
01/12/2022 11:31:49.836,3299,PROTEUS @262F5E,9187,DBFF0E00F003,-37,14,1008,
01/12/2022 11:31:49.885,3348,PROTEUS @262F5E,9193,D5FF1000EC03,-43,16,1004,
01/12/2022 11:31:49.935,3398,PROTEUS @262F5E,9199,CFFF0B00EF03,-49,11,1007,
01/12/2022 11:31:49.983,3446,PROTEUS @262F5E,9206,D3FF0900E803,-45,9,1000,
01/12/2022 11:31:50.032,3495,PROTEUS @262F5E,9212,D3FF1100ED03,-45,17,1005,
01/12/2022 11:31:50.080,3543,PROTEUS @262F5E,9218,D2FF1100E803,-46,17,1000,
01/12/2022 11:31:50.129,3592,PROTEUS @262F5E,9224,D4FF0D00E803,-44,13,1000,
01/12/2022 11:31:50.178,3641,PROTEUS @262F5E,9231,D6FF0E00EA03,-42,14,1002,
01/12/2022 11:31:50.227,3690,PROTEUS @262F5E,9237,D4FF0600ED03,-44,6,1005,
01/12/2022 11:31:50.276,3739,PROTEUS @262F5E,9243,D1FF1100E903,-47,17,1001,
