Log start on,2022-12-01 11:34:00
Feature,Accelerometer
Nodes,PROTEUS @262F5E, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
01/12/2022 11:34:04.969,4628,PROTEUS @262F5E,26077,D4FF75FFAD02,-44,-139,685,
01/12/2022 11:34:05.017,4676,PROTEUS @262F5E,26083,EEFF9BFF2A02,-18,-101,554,
01/12/2022 11:34:05.067,4726,PROTEUS @262F5E,26089,000003004103,0,3,833,
01/12/2022 11:34:05.115,4774,PROTEUS @262F5E,26095,92FF34006A03,-110,52,874,
01/12/2022 11:34:05.163,4822,PROTEUS @262F5E,26102,ECFF26008605,-20,38,1414,
01/12/2022 11:34:05.214,4873,PROTEUS @262F5E,26108,C6FF16008A05,-58,22,1418,
01/12/2022 11:34:05.261,4920,PROTEUS @262F5E,26114,C9FF01007E05,-55,1,1406,
01/12/2022 11:34:05.310,4969,PROTEUS @262F5E,26120,F6FFB2FF2004,-10,-78,1056,
01/12/2022 11:34:05.358,5017,PROTEUS @262F5E,26127,DAFFAAFFB402,-38,-86,692,
01/12/2022 11:34:05.407,5066,PROTEUS @262F5E,26133,C5FFA3FF4202,-59,-93,578,
01/12/2022 11:34:05.456,5115,PROTEUS @262F5E,26139,E2FF00004303,-30,0,835,
01/12/2022 11:34:05.505,5164,PROTEUS @262F5E,26145,73FF1A00F503,-141,26,1013,
01/12/2022 11:34:05.555,5214,PROTEUS @262F5E,26152,D1FF58007705,-47,88,1399,
01/12/2022 11:34:05.602,5261,PROTEUS @262F5E,26158,B1FF3A007F05,-79,58,1407,
01/12/2022 11:34:05.652,5311,PROTEUS @262F5E,26164,B4FFB4FFC904,-76,-76,1225,
01/12/2022 11:34:05.700,5359,PROTEUS @262F5E,26170,D9FFA9FFF803,-39,-87,1016,
01/12/2022 11:34:05.749,5408,PROTEUS @262F5E,26177,04006BFFD802,4,-149,728,
01/12/2022 11:34:05.798,5457,PROTEUS @262F5E,26183,C8FFA9FF5102,-56,-87,593,
01/12/2022 11:34:05.846,5505,PROTEUS @262F5E,26189,EBFF1B008A03,-21,27,906,
01/12/2022 11:34:05.894,5553,PROTEUS @262F5E,26195,A1FF36008103,-95,54,897,
01/12/2022 11:34:05.943,5602,PROTEUS @262F5E,26202,D7FF83005E05,-41,131,1374,
01/12/2022 11:34:05.992,5651,PROTEUS @262F5E,26208,D8FF4B006205,-40,75,1378,
01/12/2022 11:34:06.041,5700,PROTEUS @262F5E,26214,CBFFD9FFC104,-53,-39,1217,
01/12/2022 11:34:06.090,5749,PROTEUS @262F5E,26220,F1FFB7FFDA03,-15,-73,986,
01/12/2022 11:34:06.187,5846,PROTEUS @262F5E,26227,E6FF55FFDF02,-26,-171,735,
01/12/2022 11:34:06.187,5846,PROTEUS @262F5E,26233,C4FFA7FF5E02,-60,-89,606,
01/12/2022 11:34:06.236,5895,PROTEUS @262F5E,26239,EAFF1200B103,-22,18,945,
01/12/2022 11:34:06.285,5944,PROTEUS @262F5E,26245,C6FF42008303,-58,66,899,
01/12/2022 11:34:06.334,5993,PROTEUS @262F5E,26252,D6FF7D005005,-42,125,1360,
01/12/2022 11:34:06.383,6042,PROTEUS @262F5E,26258,C5FF15003905,-59,21,1337,
01/12/2022 11:34:06.431,6090,PROTEUS @262F5E,26264,D8FFDDFFC504,-40,-35,1221,
01/12/2022 11:34:06.480,6139,PROTEUS @262F5E,26270,F4FFBCFFE103,-12,-68,993,
01/12/2022 11:34:06.528,6187,PROTEUS @262F5E,26277,E1FF5AFFAC02,-31,-166,684,
01/12/2022 11:34:06.577,6236,PROTEUS @262F5E,26283,EAFFA3FF4F02,-22,-93,591,
01/12/2022 11:34:06.626,6285,PROTEUS @262F5E,26289,E6FF1F007403,-26,31,884,
01/12/2022 11:34:06.674,6333,PROTEUS @262F5E,26295,BFFF57007B03,-65,87,891,
01/12/2022 11:34:06.723,6382,PROTEUS @262F5E,26302,D4FF7E004805,-44,126,1352,
01/12/2022 11:34:06.821,6480,PROTEUS @262F5E,26308,B9FF27003605,-71,39,1334,
01/12/2022 11:34:06.870,6529,PROTEUS @262F5E,26314,D1FFDCFFBF04,-47,-36,1215,
01/12/2022 11:34:06.919,6578,PROTEUS @262F5E,26320,F6FFA1FFD803,-10,-95,984,
01/12/2022 11:34:06.967,6626,PROTEUS @262F5E,26327,F6FF66FFBA02,-10,-154,698,
01/12/2022 11:34:07.016,6675,PROTEUS @262F5E,26333,CDFFA6FF5A02,-51,-90,602,
01/12/2022 11:34:07.065,6724,PROTEUS @262F5E,26339,F5FF2F009103,-11,47,913,
01/12/2022 11:34:07.114,6773,PROTEUS @262F5E,26345,ABFF2F00BF03,-85,47,959,
01/12/2022 11:34:07.163,6822,PROTEUS @262F5E,26352,CFFF7F004305,-49,127,1347,
